Name,Usage,Paper,Code Original,Code re-implement,Availability,Function/notest,Year,
dummy,xxx,bibtex / link,link to code,,original / re-implementation / no known source,,,
Grec-OC,,https://linkinghub.elsevier.com/retrieve/pii/S0957417407000863,-,-,no known source,recommend items from similar groups,2012,
GroupReM,,https://www.sciencedirect.com/science/article/pii/S0020025511006220,-,-,no known source,genetic algorithm,2008,
GRF,,https://link.springer.com/article/10.1007/s10115-017-1082-9,-,-,no known source,"greedy, fairness preserving",2018,
SPG / SPGreedy / Fair Prop,,https://dl.acm.org/doi/10.1145/3038912.3052612,-,"https://github.com/mesutkaya/recsys2020, https://github.com/joisino/fape",re-implementation,"greedy, fairness preserving",2017,
EPG / EFGreedy / Envy Free,,https://dl.acm.org/doi/10.1145/3038912.3052612,-,"https://github.com/mesutkaya/recsys2020, https://github.com/joisino/fape",re-implementation,"greedy, fairness preserving",2017,
Fair Lin / GreedyLM,,https://dl.acm.org/doi/pdf/10.1145/3109859.3109887,-,"https://github.com/mesutkaya/recsys2020, https://github.com/pdokoupil/gmap2023, https://github.com/joisino/fape",re-implementation,"greedy, fairness preserving",2017,
GVAR / GreedyVar,,https://dl.acm.org/doi/pdf/10.1145/3109859.3109887,-,https://github.com/joisino/fape,re-implementation,"greedy, fairness preserving",2017,
COM,,https://dl.acm.org/doi/10.1145/2623330.2623616,-,-,no known source,"generative, consensus based",2014,
SIGR,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8731382,-,-,no known source,"deep-learning, bipartite graph embedding + attention mechanism",2019,
AGREE,,https://dl.acm.org/doi/10.1145/3209978.3209998,https://github.com/LianHaiMiao/Attentive-Group-Recommendation,https://github.com/zanshuxun/User-Difference-Attention,original,"deep learning, attention models",2018,
PIT,,https://dl.acm.org/doi/10.1145/2396761.2396848,-,-,no known source,user's influence,2012,
PR-GRS,,https://ieeexplore.ieee.org/document/8635454,-,-,no known source,preference relations,2019,
GROD,,https://ieeexplore.ieee.org/document/7919222,-,-,no known source,consensus based,2018,
VAE / VAE-GRS / VAEGRS,,https://dl.acm.org/doi/10.1145/3240323.3240357,-,-,no known source,variation autoencoders,2018,
MC-GR,,https://www.sciencedirect.com/science/article/pii/S0167923616300756,-,-,no known source,user's influence,2016,
NNMG-FT,,https://www.sciencedirect.com/science/article/pii/S095741741730742X,-,-,no known source,,2018,
GFAR,,https://dl.acm.org/doi/10.1145/3383313.3412232,https://github.com/mesutkaya/recsys2020,"https://github.com/pdokoupil/gmap2023, https://github.com/joisino/fape",original,"greedy, fairness preserving",2020,Java implementation
XPO,,https://dl.acm.org/doi/10.1145/3297280.3297442,-,https://github.com/mesutkaya/recsys2020,re-implementation,"greedy, fairness preserving",2019,
FuzzDA,,https://proceedings.mlr.press/v109/peska19a.html,https://github.com/lpeska/ORSUM2019,https://github.com/LadislavMalecek/UMAP2021,original,"greedy, fairness preserving",2019,Originally not for group RS
EP-FuzzDA,,https://dl.acm.org/doi/abs/10.1145/3450614.3461679,https://github.com/LadislavMalecek/UMAP2021,https://github.com/pdokoupil/gmap2023,original,"greedy, fairness preserving",2021,Java implementation
FPGR,,https://dl.acm.org/doi/abs/10.1145/3488560.3498432,https://github.com/joisino/fape,-,original,"greedy, fairness preserving",2022,
Infl,,https://www.sciencedirect.com/science/article/pii/S0306437918304484,-,-,no known source,"POI specific, user's influence",2019,
BGLR,,https://onlinelibrary.wiley.com/doi/10.1111/tgis.12848,-,-,no known source,POI specific,2021,
Infl_cmean,,https://www.sciencedirect.com/science/article/pii/S0957417421000348,-,-,no known source,"POI specific, user's influence",2021,
MoSAN / AGR,,https://dl.acm.org/doi/10.1145/3331184.3331251,-,-,no known source,"deep learning, attention models",2019,
HHGR,,https://dl.acm.org/doi/abs/10.1145/3459637.3482426,https://github.com/0411tony/HHGR,,original,graph convolution,2021,
GAME,,https://dl.acm.org/doi/pdf/10.1145/3397271.3401064,-,-,no known source,"deep learning, attention models",2020,
GroupIM,,https://dl.acm.org/doi/abs/10.1145/3397271.3401116,https://github.com/CrowdDynamicsLab/GroupIM,,original,"deep learning, contrastive learning",2020,
HBGG,,https://epubs.siam.org/doi/abs/10.1137/1.9781611974973.42,-,-,no known source,"deep learning, generative, social structure",2017,
GroupSA,,https://ieeexplore.ieee.org/document/9101842,-,-,no known source,"deep learning, attention-based",2020,
SoAGREE,,https://ieeexplore.ieee.org/document/8807225,https://github.com/caoda0721/SoAGREE,,original,"deep learning, attention models, social",2019,
FAI,,-,-,https://dl.acm.org/doi/10.1145/3383313.3412232,re-implementation,greedy,-,
DPMF-CNN,,https://crad.ict.ac.cn/cn/article/doi/10.7544/issn1000-1239.2017.20170344,-,-,no known source,deep learning,2017,inaccessible full paper
GRADI,,https://ieeexplore.ieee.org/abstract/document/9005686,-,-,no known source,"deep learning, attention-based",2019,
