Evaluating Group Recommender Systems,BibtexID,ResponsiblePerson,Title,StudyType,Dataset,Domain of tests [other],DataPyramid,DatasetFeatures,Coupled/Decoupled,GroundTruthType,RecommendationType,GroupSizes,Baselines,GroupConstruction,GroupDuration,EvaluationDimensions,ReproducibleCode,ReproducibleData,ReproducibleGroups,ReproducibleEvalProtocol,Notes,
dummy,dummy,FB/AD/LP/PD,Dummy Paper,Offline / Online / UserStudy,ML1M,Movies,No_groups/Groups/GroupDecisions/DecisionSatisfaction,"20groups,80users",Coupled/Decoupled,Individual/Group,One-session/Multi-session/Sequential,2-8,Item-based/List-wise/NN,Similar/Random/Divergent...,"Ephemeral/Permanent... note: ephemeral unless not proven permanent:-) (via evaluation settings, groups generation, specifically mentioned in motivation etc.) ",Relevance/Fairness/Novelty/Diversity/Explanations...,Code/Algorithm/Problems,Data/CollectionProcedure/Problems,Groups/GenerationProcedure/Problems,,,
A novel group recommender system based on members’ influence and leader impact - ScienceDirect,,LP,A novel group recommender system based on members’ influence and leader impact,Offline,ML100K,Movies,No_groups,,Coupled,Individual,One-session ,5-15,"item-based, Grec-OC, GroupReM",Similar,Ephemeral ,"Relevance (MAE, RMSE, ratio of ratings above threshold)",Algorithm,Data,GenerationProcedure,Problems:unclear ground truth,,
https://www.sciencedirect.com/science/article/pii/S0167923616300756,,LP,Member contribution-based group recommender system,Offline,"ML1M,ML100K,Jester","Movies, Humor [tourism]",No_groups,,Hybrid (projection to known values),Individual,One-session ,5-30,"item-based, proprietary",Random,Ephemeral ,"Relevance (nDCG@k, F1)",Algorithm,Data,GenerationProcedure,,,
https://www.sciencedirect.com/science/article/pii/S0957417421008587,,LP,Content-based group recommender systems: A general taxonomy and further improvements,Offline,"ML100K,HetRec",Movies,No_groups,,Coupled,Individual,One-session ,3-5,item-based,SimilarWithSharedTest,Ephemeral ,"Relevance (of full agreement => sort of fairness, precision, nDCG)",Algorithm,Data,GenerationProcedure,,,
https://www.sciencedirect.com/science/article/pii/S0306457315001211,,LP,Personalized hybrid recommendation for group of users: Top-N multimedia recommender,Offline,ML10M,Movies,No_groups,,Coupled,Individual,One-session ,2-4,-,SimilarWithSharedTest,Ephemeral,"Relevance (of full agreement => sort of fairness, precision@k)",Algorithm,Data,GenerationProcedure,,,
https://www.sciencedirect.com/science/article/pii/S0306457315001211,,LP,Personalized hybrid recommendation for group of users: Top-N multimedia recommender,User Study,-,Movies,GroupDecisions,"31participants, 103groups",Coupled,Individual+Group,One-session ,2-4,item-based,organic (Free decision of participants),Ephemeral,"Relevance (nDCG, average rating, satisfaction)",Algorithm,General characteristics only,General characteristics only,,,
https://ieeexplore.ieee.org/abstract/document/7919222,,LP,Opinion Dynamics-Based Group Recommender Systems,Offline,"ML100K,ML1M",Movies,No_groups,,Coupled,Individual,One-session ,1-10,-,Random,Ephemeral,"Relevance (MAE, RMSE)",Algorithm,Data,GenerationProcedure,,,
https://www.sciencedirect.com/science/article/pii/S0957417420308617,,LP,An entropy empowered hybridized aggregation technique for group recommender systems,Offline,"ML100K,ML1M,Netflix(subset)",Movies,No_groups,,Decoupled,Individual,One-session ,4-128 clusters,,Similar (k-means),Ephemeral,"Relevance, Fairness",Algorithm,"Data (MovieLens), general characteristics (Netflix)",GenerationProcedure,,to_remove,
https://dl.acm.org/doi/10.1145/3297280.3297442,,LP,Top-N group recommendations with fairness,Offline,ML1M,Movies,No_groups,,Decoupled,Individual,One-session ,2-8,"item-based, SPG, EPG, GRF, GVAR","Random, Similar",Ephemeral,"Relevance, Fairness",Algorithm,Data,GenerationProcedure,,,
https://www.sciencedirect.com/science/article/pii/S0957417417307108?via%3Dihub,,LP,An enhanced aggregation method considering deviations for a group recommendation,Offline,ML100K,Movies,No_groups,,?Coupled?,Individual,One-session ,4-128 clusters,,Similar (k-means),Ephemeral,"Relevance, Diversity",Algorithm,Data,GenerationProcedure,Problems:unclear ground truth,to_remove,
https://link.springer.com/article/10.1007/s10115-017-1082-9,,LP,Recommending packages with validity constraints to groups of users,Offline,"Yelp, MovieLens?","Travel, Movies",No_groups,,Decoupled,Individual,One-session ,1-5,COM,"Similar, dissimilar",Ephemeral,"Relevance, Fairness",Algorithm,Problems: unspecified MovieLens version,GenerationProcedure,,,
https://link.springer.com/article/10.1007/s10115-017-1082-9,,LP,Recommending packages with validity constraints to groups of users,User Study,-,Movies,GroupDecisions,"30 participants,10groups",Coupled,Individual,One-session ,2-4,"random, item-based",not specified,Ephemeral,"Relevance, Fairness",Algorithm,General characteristics only,Not specified,,,
