;source;target;type;value;label
0;1;2;same_datasets;5.0;['ml100k']
1;1;3;same_datasets;5.0;['ml100k']
2;1;6;same_datasets;5.0;['ml100k']
3;1;17;same_datasets;10.0;['ml100k']
4;1;30;same_datasets;10.0;['ml100k']
5;1;33;same_datasets;3.333333333333333;['ml100k']
6;1;36;same_datasets;5.0;['ml100k']
7;1;40;same_datasets;5.0;['ml100k']
8;1;50;same_datasets;10.0;['ml100k']
9;1;68;same_datasets;10.0;['ml100k']
10;1;74;same_datasets;10.0;['ml100k']
11;1;87;same_datasets;2.0;['ml100k']
12;1;96;same_datasets;3.333333333333333;['ml100k']
13;1;101;same_datasets;2.5;['ml100k']
14;1;115;same_datasets;5.0;['ml100k']
15;1;119;same_datasets;5.0;['ml100k']
16;1;129;same_datasets;5.0;['ml100k']
17;1;132;same_datasets;10.0;['ml100k']
18;1;137;same_datasets;10.0;['ml100k']
19;2;3;same_datasets;3.333333333333333;['ml100k']
20;2;6;same_datasets;10.0;['ml100k', 'ml1m']
21;2;8;same_datasets;5.0;['ml1m']
22;2;17;same_datasets;5.0;['ml100k']
23;2;27;same_datasets;2.5;['ml1m']
24;2;29;same_datasets;3.333333333333333;['ml1m']
25;2;30;same_datasets;5.0;['ml100k']
26;2;33;same_datasets;6.666666666666666;['ml100k', 'ml1m']
27;2;34;same_datasets;3.333333333333333;['ml1m']
28;2;36;same_datasets;3.333333333333333;['ml100k']
29;2;37;same_datasets;2.5;['ml1m']
30;2;40;same_datasets;3.333333333333333;['ml100k']
31;2;43;same_datasets;3.333333333333333;['ml1m']
32;2;50;same_datasets;5.0;['ml100k']
33;2;53;same_datasets;2.5;['ml1m']
34;2;54;same_datasets;3.333333333333333;['ml1m']
35;2;55;same_datasets;3.333333333333333;['ml1m']
36;2;61;same_datasets;5.0;['ml1m']
37;2;68;same_datasets;5.0;['ml100k']
38;2;70;same_datasets;3.333333333333333;['ml1m']
39;2;74;same_datasets;5.0;['ml100k']
40;2;79;same_datasets;3.333333333333333;['ml1m']
41;2;80;same_datasets;5.0;['ml1m']
42;2;87;same_datasets;4.0;['ml100k', 'ml1m']
43;2;88;same_datasets;3.333333333333333;['ml1m']
44;2;96;same_datasets;2.5;['ml100k']
45;2;97;same_datasets;3.333333333333333;['ml1m']
46;2;101;same_datasets;5.0;['ml100k', 'ml1m']
47;2;115;same_datasets;3.333333333333333;['ml100k']
48;2;119;same_datasets;10.0;['ml100k', 'ml1m']
49;2;121;same_datasets;5.0;['ml1m']
50;2;122;same_datasets;2.5;['ml1m']
51;2;129;same_datasets;3.333333333333333;['ml100k']
52;2;132;same_datasets;5.0;['ml100k']
53;2;137;same_datasets;5.0;['ml100k']
54;3;6;same_datasets;3.333333333333333;['ml100k']
55;3;15;same_datasets;3.333333333333333;['camra2011']
56;3;17;same_datasets;5.0;['ml100k']
57;3;23;same_datasets;5.0;['camra2011']
58;3;27;same_datasets;2.5;['camra2011']
59;3;30;same_datasets;5.0;['ml100k']
60;3;32;same_datasets;3.333333333333333;['camra2011']
61;3;33;same_datasets;2.5;['ml100k']
62;3;34;same_datasets;3.333333333333333;['camra2011']
63;3;36;same_datasets;10.0;['camra2011', 'ml100k']
64;3;40;same_datasets;3.333333333333333;['ml100k']
65;3;50;same_datasets;5.0;['ml100k']
66;3;53;same_datasets;2.5;['camra2011']
67;3;68;same_datasets;5.0;['ml100k']
68;3;69;same_datasets;3.333333333333333;['camra2011']
69;3;70;same_datasets;3.333333333333333;['camra2011']
70;3;71;same_datasets;2.0;['camra2011']
71;3;73;same_datasets;3.333333333333333;['camra2011']
72;3;74;same_datasets;5.0;['ml100k']
73;3;77;same_datasets;3.333333333333333;['camra2011']
74;3;78;same_datasets;3.333333333333333;['camra2011']
75;3;84;same_datasets;2.5;['camra2011']
76;3;87;same_datasets;1.6666666666666665;['ml100k']
77;3;89;same_datasets;5.0;['camra2011']
78;3;91;same_datasets;3.333333333333333;['camra2011']
79;3;94;same_datasets;2.5;['camra2011']
80;3;96;same_datasets;6.666666666666666;['camra2011', 'ml100k']
81;3;98;same_datasets;2.5;['camra2011']
82;3;101;same_datasets;5.0;['camra2011', 'ml100k']
83;3;115;same_datasets;3.333333333333333;['ml100k']
84;3;119;same_datasets;3.333333333333333;['ml100k']
85;3;127;same_datasets;3.333333333333333;['camra2011']
86;3;128;same_datasets;3.333333333333333;['camra2011']
87;3;129;same_datasets;3.333333333333333;['ml100k']
88;3;132;same_datasets;5.0;['ml100k']
89;3;135;same_datasets;5.0;['camra2011']
90;3;137;same_datasets;5.0;['ml100k']
91;4;87;same_datasets;2.0;['ml10m']
92;6;8;same_datasets;5.0;['ml1m']
93;6;17;same_datasets;5.0;['ml100k']
94;6;27;same_datasets;2.5;['ml1m']
95;6;29;same_datasets;3.333333333333333;['ml1m']
96;6;30;same_datasets;5.0;['ml100k']
97;6;33;same_datasets;6.666666666666666;['ml100k', 'ml1m']
98;6;34;same_datasets;3.333333333333333;['ml1m']
99;6;36;same_datasets;3.333333333333333;['ml100k']
100;6;37;same_datasets;2.5;['ml1m']
101;6;40;same_datasets;3.333333333333333;['ml100k']
102;6;43;same_datasets;3.333333333333333;['ml1m']
103;6;50;same_datasets;5.0;['ml100k']
104;6;53;same_datasets;2.5;['ml1m']
105;6;54;same_datasets;3.333333333333333;['ml1m']
106;6;55;same_datasets;3.333333333333333;['ml1m']
107;6;61;same_datasets;5.0;['ml1m']
108;6;68;same_datasets;5.0;['ml100k']
109;6;70;same_datasets;3.333333333333333;['ml1m']
110;6;74;same_datasets;5.0;['ml100k']
111;6;79;same_datasets;3.333333333333333;['ml1m']
112;6;80;same_datasets;5.0;['ml1m']
113;6;87;same_datasets;4.0;['ml100k', 'ml1m']
114;6;88;same_datasets;3.333333333333333;['ml1m']
115;6;96;same_datasets;2.5;['ml100k']
116;6;97;same_datasets;3.333333333333333;['ml1m']
117;6;101;same_datasets;5.0;['ml100k', 'ml1m']
118;6;115;same_datasets;3.333333333333333;['ml100k']
119;6;119;same_datasets;10.0;['ml100k', 'ml1m']
120;6;121;same_datasets;5.0;['ml1m']
121;6;122;same_datasets;2.5;['ml1m']
122;6;129;same_datasets;3.333333333333333;['ml100k']
123;6;132;same_datasets;5.0;['ml100k']
124;6;137;same_datasets;5.0;['ml100k']
