;source;target;type;value;label
0;1;1;similar_groupSizes;10.0;[10.0]vs.[10.0]
1;1;2;similar_groupSizes;5.555555555555555;[10.0]vs.[18.0]
2;1;3;similar_groupSizes;4.0;[10.0]vs.[4.0]
3;1;4;similar_groupSizes;3.0000000000000004;[10.0]vs.[3.0]
4;1;6;similar_groupSizes;6.0;[10.0]vs.[6.0]
5;1;8;similar_groupSizes;5.0;[10.0]vs.[5.0]
6;1;10;similar_groupSizes;3.0000000000000004;[10.0]vs.[3.0]
7;1;12;similar_groupSizes;10.0;[10.0]vs.[10.0]
8;1;16;similar_groupSizes;4.0;[10.0]vs.[4.0]
9;1;17;similar_groupSizes;10.0;[10.0]vs.[10.0]
10;1;18;similar_groupSizes;3.0000000000000004;[10.0]vs.[3.0]
11;1;21;similar_groupSizes;4.0;[10.0]vs.[4.0]
12;1;22;similar_groupSizes;6.0;[10.0]vs.[6.0]
13;1;26;similar_groupSizes;4.0;[10.0]vs.[4.0]
14;1;27;similar_groupSizes;7.0;[10.0]vs.[7.0, 2.0, 5.0, 3.0]
15;1;28;similar_groupSizes;4.0;[10.0]vs.[4.0]
16;1;29;similar_groupSizes;6.0;[10.0]vs.[6.0]
17;1;30;similar_groupSizes;5.0;[10.0]vs.[5.0]
18;1;31;similar_groupSizes;4.0;[10.0]vs.[4.0]
19;1;32;similar_groupSizes;7.0;[10.0]vs.[7.0, 2.0]
20;1;34;similar_groupSizes;8.0;[10.0]vs.[8.0]
21;1;36;similar_groupSizes;4.0;[10.0]vs.[4.0]
22;1;37;similar_groupSizes;5.555555555555555;[10.0]vs.[18.0]
23;1;38;similar_groupSizes;3.333333333333334;[10.0]vs.[30.0]
24;1;40;similar_groupSizes;6.666666666666668;[10.0]vs.[15.0]
25;1;41;similar_groupSizes;4.0;[10.0]vs.[4.0]
26;1;43;similar_groupSizes;7.0;[10.0]vs.[7.0]
27;1;46;similar_groupSizes;3.333333333333334;[10.0]vs.[30.0]
28;1;50;similar_groupSizes;10.0;[10.0]vs.[10.0]
29;1;53;similar_groupSizes;7.0;[10.0]vs.[2.0, 7.0, 5.0, 3.0]
30;1;54;similar_groupSizes;5.0;[10.0]vs.[5.0]
31;1;55;similar_groupSizes;5.0;[10.0]vs.[5.0]
32;1;60;similar_groupSizes;5.0;[10.0]vs.[3.0, 5.0, 4.0]
33;1;65;similar_groupSizes;7.0;[10.0]vs.[7.0]
34;1;66;similar_groupSizes;8.333333333333334;[10.0]vs.[12.0]
35;1;67;similar_groupSizes;5.0;[10.0]vs.[5.0]
36;1;68;similar_groupSizes;3.846153846153846;[10.0]vs.[26.0]
37;1;69;similar_groupSizes;6.0;[10.0]vs.[6.0]
38;1;70;similar_groupSizes;5.0;[10.0]vs.[2.0, 5.0]
39;1;71;similar_groupSizes;4.0;[10.0]vs.[4.0]
40;1;72;similar_groupSizes;8.333333333333334;[10.0]vs.[12.0]
41;1;73;similar_groupSizes;7.0;[10.0]vs.[2.0, 7.0]
42;1;74;similar_groupSizes;9.09090909090909;[10.0]vs.[11.0]
43;1;75;similar_groupSizes;4.0;[10.0]vs.[230.0, 330.0, 2.0, 4.0]
44;1;77;similar_groupSizes;7.0;[10.0]vs.[2.0, 7.0]
45;1;78;similar_groupSizes;5.0;[10.0]vs.[2.0, 4.0, 5.0]
46;1;79;similar_groupSizes;5.0;[10.0]vs.[5.0]
47;1;80;similar_groupSizes;8.0;[10.0]vs.[8.0]
48;1;81;similar_groupSizes;6.0;[10.0]vs.[6.0]
49;1;82;similar_groupSizes;4.0;[10.0]vs.[4.0]
50;1;85;similar_groupSizes;4.0;[10.0]vs.[4.0]
51;1;86;similar_groupSizes;6.0;[10.0]vs.[6.0]
52;1;87;similar_groupSizes;9.0;[10.0]vs.[9.0]
53;1;88;similar_groupSizes;5.0;[10.0]vs.[5.0]
54;1;91;similar_groupSizes;7.0;[10.0]vs.[2.0, 7.0]
55;1;92;similar_groupSizes;8.0;[10.0]vs.[8.0]
56;1;93;similar_groupSizes;5.0;[10.0]vs.[5.0]
57;1;95;similar_groupSizes;3.0000000000000004;[10.0]vs.[3.0]
58;1;96;similar_groupSizes;4.0;[10.0]vs.[4.0, 2.0, 2.0]
59;1;97;similar_groupSizes;5.0;[10.0]vs.[4.0, 5.0]
60;1;100;similar_groupSizes;9.0;[10.0]vs.[9.0, 2.0]
61;1;101;similar_groupSizes;10.0;[10.0]vs.[10.0, 50.0, 100.0, 2.0]
62;1;102;similar_groupSizes;4.0;[10.0]vs.[4.0]
63;1;104;similar_groupSizes;7.0;[10.0]vs.[7.0, 3.0, 3.0, 4.0]
64;1;105;similar_groupSizes;3.0000000000000004;[10.0]vs.[3.0]
65;1;108;similar_groupSizes;5.0;[10.0]vs.[5.0, 4.0]
66;1;110;similar_groupSizes;3.0000000000000004;[10.0]vs.[3.0]
67;1;111;similar_groupSizes;9.0;[10.0]vs.[4.0, 5.0, 9.0]
