;source;target;type;label;value
0;2;37;is_baseline_for;is_baseline_for;10.0
1;2;92;is_baseline_for;is_baseline_for;10.0
2;2;144;is_baseline_for;is_baseline_for;10.0
3;6;37;is_baseline_for;is_baseline_for;10.0
4;6;92;is_baseline_for;is_baseline_for;10.0
5;10;8;is_baseline_for;is_baseline_for;10.0
6;12;8;is_baseline_for;is_baseline_for;10.0
7;12;8;is_baseline_for;is_baseline_for;10.0
8;34;8;is_baseline_for;is_baseline_for;10.0
9;8;54;is_baseline_for;is_baseline_for;10.0
10;8;55;is_baseline_for;is_baseline_for;10.0
11;8;79;is_baseline_for;is_baseline_for;10.0
12;8;88;is_baseline_for;is_baseline_for;10.0
13;12;34;is_baseline_for;is_baseline_for;10.0
14;12;34;is_baseline_for;is_baseline_for;10.0
15;12;41;is_baseline_for;is_baseline_for;10.0
16;12;41;is_baseline_for;is_baseline_for;10.0
17;12;54;is_baseline_for;is_baseline_for;10.0
18;12;55;is_baseline_for;is_baseline_for;10.0
19;12;79;is_baseline_for;is_baseline_for;10.0
20;12;87;is_baseline_for;is_baseline_for;10.0
21;12;87;is_baseline_for;is_baseline_for;10.0
22;12;88;is_baseline_for;is_baseline_for;10.0
23;12;117;is_baseline_for;is_baseline_for;10.0
24;12;121;is_baseline_for;is_baseline_for;10.0
25;12;121;is_baseline_for;is_baseline_for;10.0
26;86;14;is_baseline_for;is_baseline_for;10.0
27;103;14;is_baseline_for;is_baseline_for;10.0
28;104;14;is_baseline_for;is_baseline_for;10.0
29;122;14;is_baseline_for;is_baseline_for;10.0
30;140;14;is_baseline_for;is_baseline_for;10.0
31;31;15;is_baseline_for;is_baseline_for;10.0
32;103;15;is_baseline_for;is_baseline_for;10.0
33;108;15;is_baseline_for;is_baseline_for;10.0
34;140;15;is_baseline_for;is_baseline_for;10.0
35;17;37;is_baseline_for;is_baseline_for;10.0
36;18;125;is_baseline_for;is_baseline_for;10.0
37;122;27;is_baseline_for;is_baseline_for;10.0
38;140;27;is_baseline_for;is_baseline_for;10.0
39;122;29;is_baseline_for;is_baseline_for;10.0
40;140;29;is_baseline_for;is_baseline_for;10.0
41;31;71;is_baseline_for;is_baseline_for;10.0
42;31;77;is_baseline_for;is_baseline_for;10.0
43;31;82;is_baseline_for;is_baseline_for;10.0
44;31;83;is_baseline_for;is_baseline_for;10.0
45;31;84;is_baseline_for;is_baseline_for;10.0
46;31;94;is_baseline_for;is_baseline_for;10.0
47;31;108;is_baseline_for;is_baseline_for;10.0
48;31;111;is_baseline_for;is_baseline_for;10.0
49;140;31;is_baseline_for;is_baseline_for;10.0
50;43;33;is_baseline_for;is_baseline_for;10.0
51;34;41;is_baseline_for;is_baseline_for;10.0
52;34;54;is_baseline_for;is_baseline_for;10.0
53;34;55;is_baseline_for;is_baseline_for;10.0
54;34;61;is_baseline_for;is_baseline_for;10.0
55;34;79;is_baseline_for;is_baseline_for;10.0
56;34;87;is_baseline_for;is_baseline_for;10.0
57;34;87;is_baseline_for;is_baseline_for;10.0
58;34;88;is_baseline_for;is_baseline_for;10.0
59;34;93;is_baseline_for;is_baseline_for;10.0
60;34;117;is_baseline_for;is_baseline_for;10.0
61;34;117;is_baseline_for;is_baseline_for;10.0
62;34;121;is_baseline_for;is_baseline_for;10.0
63;40;37;is_baseline_for;is_baseline_for;10.0
64;51;37;is_baseline_for;is_baseline_for;10.0
65;40;92;is_baseline_for;is_baseline_for;10.0
66;55;41;is_baseline_for;is_baseline_for;10.0
67;46;92;is_baseline_for;is_baseline_for;10.0
68;51;92;is_baseline_for;is_baseline_for;10.0
69;122;53;is_baseline_for;is_baseline_for;10.0
70;140;53;is_baseline_for;is_baseline_for;10.0
71;55;54;is_baseline_for;is_baseline_for;10.0
72;54;61;is_baseline_for;is_baseline_for;10.0
73;54;79;is_baseline_for;is_baseline_for;10.0
74;54;88;is_baseline_for;is_baseline_for;10.0
75;55;61;is_baseline_for;is_baseline_for;10.0
76;55;62;is_baseline_for;is_baseline_for;10.0
77;55;79;is_baseline_for;is_baseline_for;10.0
78;55;87;is_baseline_for;is_baseline_for;10.0
79;55;88;is_baseline_for;is_baseline_for;10.0
80;84;60;is_baseline_for;is_baseline_for;10.0
81;104;60;is_baseline_for;is_baseline_for;10.0
82;140;60;is_baseline_for;is_baseline_for;10.0
83;87;62;is_baseline_for;is_baseline_for;10.0
84;95;65;is_baseline_for;is_baseline_for;10.0
85;99;65;is_baseline_for;is_baseline_for;10.0
86;103;69;is_baseline_for;is_baseline_for;10.0
87;128;69;is_baseline_for;is_baseline_for;10.0
88;86;70;is_baseline_for;is_baseline_for;10.0
89;103;70;is_baseline_for;is_baseline_for;10.0
90;122;70;is_baseline_for;is_baseline_for;10.0
91;140;70;is_baseline_for;is_baseline_for;10.0
92;104;71;is_baseline_for;is_baseline_for;10.0
93;122;71;is_baseline_for;is_baseline_for;10.0
94;140;71;is_baseline_for;is_baseline_for;10.0
95;140;73;is_baseline_for;is_baseline_for;10.0
96;104;75;is_baseline_for;is_baseline_for;10.0
97;122;75;is_baseline_for;is_baseline_for;10.0
98;140;75;is_baseline_for;is_baseline_for;10.0
99;103;77;is_baseline_for;is_baseline_for;10.0
100;108;77;is_baseline_for;is_baseline_for;10.0
101;140;77;is_baseline_for;is_baseline_for;10.0
102;96;78;is_baseline_for;is_baseline_for;10.0
103;103;78;is_baseline_for;is_baseline_for;10.0
104;122;78;is_baseline_for;is_baseline_for;10.0
105;140;78;is_baseline_for;is_baseline_for;10.0
106;140;81;is_baseline_for;is_baseline_for;10.0
107;104;82;is_baseline_for;is_baseline_for;10.0
108;108;82;is_baseline_for;is_baseline_for;10.0
109;140;82;is_baseline_for;is_baseline_for;10.0
110;104;83;is_baseline_for;is_baseline_for;10.0
111;111;83;is_baseline_for;is_baseline_for;10.0
112;140;83;is_baseline_for;is_baseline_for;10.0
113;84;94;is_baseline_for;is_baseline_for;10.0
114;104;84;is_baseline_for;is_baseline_for;10.0
115;122;84;is_baseline_for;is_baseline_for;10.0
116;140;84;is_baseline_for;is_baseline_for;10.0
117;124;85;is_baseline_for;is_baseline_for;10.0
118;122;86;is_baseline_for;is_baseline_for;10.0
119;140;89;is_baseline_for;is_baseline_for;10.0
120;140;91;is_baseline_for;is_baseline_for;10.0
121;103;94;is_baseline_for;is_baseline_for;10.0
122;104;94;is_baseline_for;is_baseline_for;10.0
123;122;94;is_baseline_for;is_baseline_for;10.0
124;140;94;is_baseline_for;is_baseline_for;10.0
125;99;95;is_baseline_for;is_baseline_for;10.0
126;122;96;is_baseline_for;is_baseline_for;10.0
127;140;96;is_baseline_for;is_baseline_for;10.0
128;122;97;is_baseline_for;is_baseline_for;10.0
129;122;98;is_baseline_for;is_baseline_for;10.0
130;136;98;is_baseline_for;is_baseline_for;10.0
131;103;100;is_baseline_for;is_baseline_for;10.0
132;111;100;is_baseline_for;is_baseline_for;10.0
133;140;100;is_baseline_for;is_baseline_for;10.0
134;122;103;is_baseline_for;is_baseline_for;10.0
135;128;103;is_baseline_for;is_baseline_for;10.0
136;140;103;is_baseline_for;is_baseline_for;10.0
137;122;104;is_baseline_for;is_baseline_for;10.0
138;140;104;is_baseline_for;is_baseline_for;10.0
139;122;105;is_baseline_for;is_baseline_for;10.0
140;140;105;is_baseline_for;is_baseline_for;10.0
141;108;111;is_baseline_for;is_baseline_for;10.0
142;140;108;is_baseline_for;is_baseline_for;10.0
143;141;110;is_baseline_for;is_baseline_for;10.0
144;127;111;is_baseline_for;is_baseline_for;10.0
145;144;114;is_baseline_for;is_baseline_for;10.0
146;145;114;is_baseline_for;is_baseline_for;10.0
147;122;128;is_baseline_for;is_baseline_for;10.0
148;140;127;is_baseline_for;is_baseline_for;10.0
149;140;128;is_baseline_for;is_baseline_for;10.0
