;source;target;type;label;value
0;2;1;is_cited_by;is_cited_by;10.0
1;1;23;is_cited_by;is_cited_by;10.0
2;28;1;is_cited_by;is_cited_by;10.0
3;31;1;is_cited_by;is_cited_by;10.0
4;47;1;is_cited_by;is_cited_by;10.0
5;48;1;is_cited_by;is_cited_by;10.0
6;1;65;is_cited_by;is_cited_by;10.0
7;1;68;is_cited_by;is_cited_by;10.0
8;1;73;is_cited_by;is_cited_by;10.0
9;1;79;is_cited_by;is_cited_by;10.0
10;1;79;is_cited_by;is_cited_by;10.0
11;1;79;is_cited_by;is_cited_by;10.0
12;1;79;is_cited_by;is_cited_by;10.0
13;1;79;is_cited_by;is_cited_by;10.0
14;1;79;is_cited_by;is_cited_by;10.0
15;1;79;is_cited_by;is_cited_by;10.0
16;1;79;is_cited_by;is_cited_by;10.0
17;1;79;is_cited_by;is_cited_by;10.0
18;1;79;is_cited_by;is_cited_by;10.0
19;1;79;is_cited_by;is_cited_by;10.0
20;1;79;is_cited_by;is_cited_by;10.0
21;1;79;is_cited_by;is_cited_by;10.0
22;1;79;is_cited_by;is_cited_by;10.0
23;1;79;is_cited_by;is_cited_by;10.0
24;1;79;is_cited_by;is_cited_by;10.0
25;1;79;is_cited_by;is_cited_by;10.0
26;1;79;is_cited_by;is_cited_by;10.0
27;1;79;is_cited_by;is_cited_by;10.0
28;1;79;is_cited_by;is_cited_by;10.0
29;1;79;is_cited_by;is_cited_by;10.0
30;1;79;is_cited_by;is_cited_by;10.0
31;1;79;is_cited_by;is_cited_by;10.0
32;1;79;is_cited_by;is_cited_by;10.0
33;1;79;is_cited_by;is_cited_by;10.0
34;1;79;is_cited_by;is_cited_by;10.0
35;1;79;is_cited_by;is_cited_by;10.0
36;1;79;is_cited_by;is_cited_by;10.0
37;1;79;is_cited_by;is_cited_by;10.0
38;1;79;is_cited_by;is_cited_by;10.0
39;1;79;is_cited_by;is_cited_by;10.0
40;1;79;is_cited_by;is_cited_by;10.0
41;1;79;is_cited_by;is_cited_by;10.0
42;1;79;is_cited_by;is_cited_by;10.0
43;1;79;is_cited_by;is_cited_by;10.0
44;1;79;is_cited_by;is_cited_by;10.0
45;1;79;is_cited_by;is_cited_by;10.0
46;1;79;is_cited_by;is_cited_by;10.0
47;1;79;is_cited_by;is_cited_by;10.0
48;1;79;is_cited_by;is_cited_by;10.0
49;1;79;is_cited_by;is_cited_by;10.0
50;1;79;is_cited_by;is_cited_by;10.0
51;1;79;is_cited_by;is_cited_by;10.0
52;1;79;is_cited_by;is_cited_by;10.0
53;1;79;is_cited_by;is_cited_by;10.0
