;source;target;type;value;label
0;1;2;same_studyType;10.0;offline
1;1;2;same_dataPyramid;10.0;No_groups
2;1;2;same_groundTruth;10.0;Individual
3;1;2;same_recsType;10.0;One-session
4;1;2;same_groupDuration;10.0;Ephemeral
5;1;3;same_studyType;10.0;offline
6;1;3;same_dataPyramid;10.0;No_groups
7;1;3;same_evalStyle;10.0;Coupled
8;1;3;same_groundTruth;10.0;Individual
9;1;3;same_recsType;10.0;One-session
10;1;3;same_groupDuration;10.0;Ephemeral
11;1;4;same_studyType;10.0;offline
12;1;4;same_dataPyramid;10.0;No_groups
13;1;4;same_evalStyle;10.0;Coupled
14;1;4;same_groundTruth;10.0;Individual
15;1;4;same_recsType;10.0;One-session
16;1;4;same_groupDuration;10.0;Ephemeral
17;1;6;same_studyType;10.0;offline
18;1;6;same_dataPyramid;10.0;No_groups
19;1;6;same_evalStyle;10.0;Coupled
20;1;6;same_groundTruth;10.0;Individual
21;1;6;same_recsType;10.0;One-session
22;1;6;same_groupDuration;10.0;Ephemeral
23;1;8;same_studyType;10.0;offline
24;1;8;same_dataPyramid;10.0;No_groups
25;1;8;same_groundTruth;10.0;Individual
26;1;8;same_recsType;10.0;One-session
27;1;8;same_groupDuration;10.0;Ephemeral
28;1;10;same_studyType;10.0;offline
29;1;10;same_dataPyramid;10.0;No_groups
30;1;10;same_groundTruth;10.0;Individual
31;1;10;same_recsType;10.0;One-session
32;1;10;same_groupDuration;10.0;Ephemeral
33;1;12;same_studyType;10.0;offline
34;1;12;same_dataPyramid;10.0;No_groups
35;1;12;same_groundTruth;10.0;Individual
36;1;12;same_recsType;10.0;One-session
37;1;12;same_groupDuration;10.0;Ephemeral
38;1;14;same_studyType;10.0;offline
39;1;14;same_evalStyle;10.0;Coupled
40;1;14;same_recsType;10.0;One-session
41;1;14;same_groupDuration;10.0;Ephemeral
42;1;15;same_studyType;10.0;offline
43;1;15;same_evalStyle;10.0;Coupled
44;1;15;same_recsType;10.0;One-session
45;1;16;same_studyType;10.0;offline
46;1;16;same_dataPyramid;10.0;No_groups
47;1;16;same_groundTruth;10.0;Individual
48;1;16;same_recsType;10.0;One-session
49;1;16;same_groupDuration;10.0;Ephemeral
50;1;17;same_studyType;10.0;offline
51;1;17;same_dataPyramid;10.0;No_groups
52;1;17;same_evalStyle;10.0;Coupled
53;1;17;same_groundTruth;10.0;Individual
54;1;17;same_recsType;10.0;One-session
55;1;17;same_groupDuration;10.0;Ephemeral
56;1;18;same_studyType;10.0;offline
57;1;18;same_evalStyle;10.0;Coupled
58;1;18;same_recsType;10.0;One-session
59;1;21;same_recsType;10.0;One-session
60;1;21;same_groupDuration;10.0;Ephemeral
61;1;22;same_studyType;10.0;offline
62;1;22;same_recsType;10.0;One-session
63;1;22;same_groupDuration;10.0;Ephemeral
64;1;23;same_studyType;10.0;offline
65;1;23;same_groundTruth;10.0;Individual
66;1;23;same_recsType;10.0;One-session
67;1;25;same_groundTruth;10.0;Individual
68;1;25;same_recsType;10.0;One-session
69;1;25;same_groupDuration;10.0;Ephemeral
70;1;26;same_studyType;10.0;offline
71;1;26;same_dataPyramid;10.0;No_groups
72;1;26;same_evalStyle;10.0;Coupled
73;1;26;same_groundTruth;10.0;Individual
74;1;26;same_recsType;10.0;One-session
75;1;26;same_groupDuration;10.0;Ephemeral
76;1;27;same_studyType;10.0;offline
77;1;27;same_evalStyle;10.0;Coupled
78;1;27;same_recsType;10.0;One-session
79;1;28;same_recsType;10.0;One-session
80;1;28;same_groupDuration;10.0;Ephemeral
81;1;29;same_studyType;10.0;offline
82;1;29;same_evalStyle;10.0;Coupled
83;1;29;same_recsType;10.0;One-session
84;1;29;same_groupDuration;10.0;Ephemeral
85;1;30;same_studyType;10.0;offline
86;1;30;same_dataPyramid;10.0;No_groups
87;1;30;same_recsType;10.0;One-session
88;1;30;same_groupDuration;10.0;Ephemeral
89;1;31;same_studyType;10.0;offline
90;1;31;same_evalStyle;10.0;Coupled
91;1;31;same_recsType;10.0;One-session
92;1;31;same_groupDuration;10.0;Ephemeral
93;1;32;same_studyType;10.0;offline
94;1;32;same_evalStyle;10.0;Coupled
95;1;32;same_recsType;10.0;One-session
96;1;33;same_studyType;10.0;offline
97;1;33;same_dataPyramid;10.0;No_groups
98;1;33;same_evalStyle;10.0;Coupled
