;source;target;type;value;label
0;1;29;same_year;10.0;2020
1;1;33;same_year;10.0;2020
2;1;37;same_year;10.0;2020
3;1;38;same_year;10.0;2020
4;1;53;same_year;10.0;2020
5;1;55;same_year;10.0;2020
6;1;92;same_year;10.0;2020
7;1;102;same_year;10.0;2020
8;1;103;same_year;10.0;2020
9;1;104;same_year;10.0;2020
10;1;105;same_year;10.0;2020
11;1;108;same_year;10.0;2020
12;1;110;same_year;10.0;2020
13;1;111;same_year;10.0;2020
14;1;112;same_year;10.0;2020
15;1;114;same_year;10.0;2020
16;1;115;same_year;10.0;2020
17;1;116;same_year;10.0;2020
18;1;117;same_year;10.0;2020
19;1;118;same_year;10.0;2020
20;1;124;same_year;10.0;2020
21;1;125;same_year;10.0;2020
22;2;4;same_year;10.0;2016
23;2;18;same_year;10.0;2016
24;2;28;same_year;10.0;2016
25;2;43;same_year;10.0;2016
26;3;21;same_year;10.0;2021
27;3;32;same_year;10.0;2021
28;3;54;same_year;10.0;2021
29;3;79;same_year;10.0;2021
30;3;80;same_year;10.0;2021
31;3;81;same_year;10.0;2021
32;3;82;same_year;10.0;2021
33;3;84;same_year;10.0;2021
34;3;85;same_year;10.0;2021
35;3;86;same_year;10.0;2021
36;3;89;same_year;10.0;2021
37;3;91;same_year;10.0;2021
38;3;93;same_year;10.0;2021
39;3;95;same_year;10.0;2021
40;3;96;same_year;10.0;2021
41;3;97;same_year;10.0;2021
42;3;98;same_year;10.0;2021
43;3;99;same_year;10.0;2021
44;3;100;same_year;10.0;2021
45;3;101;same_year;10.0;2021
46;4;18;same_year;10.0;2016
47;4;28;same_year;10.0;2016
48;4;43;same_year;10.0;2016
49;6;17;same_year;10.0;2018
50;6;22;same_year;10.0;2018
51;6;47;same_year;10.0;2018
52;6;51;same_year;10.0;2018
53;6;130;same_year;10.0;2018
54;6;131;same_year;10.0;2018
55;8;16;same_year;10.0;2019
56;8;31;same_year;10.0;2019
57;8;40;same_year;10.0;2019
58;8;46;same_year;10.0;2019
59;8;119;same_year;10.0;2019
60;8;120;same_year;10.0;2019
61;8;121;same_year;10.0;2019
62;8;122;same_year;10.0;2019
63;8;127;same_year;10.0;2019
64;8;128;same_year;10.0;2019
65;8;129;same_year;10.0;2019
66;8;132;same_year;10.0;2019
67;8;133;same_year;10.0;2019
68;8;134;same_year;10.0;2019
69;8;135;same_year;10.0;2019
70;8;136;same_year;10.0;2019
71;10;12;same_year;10.0;2017
72;10;25;same_year;10.0;2017
73;10;26;same_year;10.0;2017
74;10;30;same_year;10.0;2017
75;10;34;same_year;10.0;2017
76;10;44;same_year;10.0;2017
77;10;48;same_year;10.0;2017
78;10;50;same_year;10.0;2017
79;10;66;same_year;10.0;2017
80;12;25;same_year;10.0;2017
81;12;26;same_year;10.0;2017
82;12;30;same_year;10.0;2017
83;12;34;same_year;10.0;2017
84;12;44;same_year;10.0;2017
85;12;48;same_year;10.0;2017
86;12;50;same_year;10.0;2017
87;12;66;same_year;10.0;2017
88;14;15;same_year;10.0;2022
89;14;23;same_year;10.0;2022
90;14;27;same_year;10.0;2022
91;14;36;same_year;10.0;2022
92;14;41;same_year;10.0;2022
93;14;62;same_year;10.0;2022
94;14;68;same_year;10.0;2022
95;14;69;same_year;10.0;2022
96;14;71;same_year;10.0;2022
97;14;72;same_year;10.0;2022
98;14;74;same_year;10.0;2022
99;14;75;same_year;10.0;2022
100;14;77;same_year;10.0;2022
101;14;78;same_year;10.0;2022
102;14;83;same_year;10.0;2022
103;14;87;same_year;10.0;2022
104;14;88;same_year;10.0;2022
105;14;94;same_year;10.0;2022
106;14;113;same_year;10.0;2022
107;15;23;same_year;10.0;2022
108;15;27;same_year;10.0;2022
109;15;36;same_year;10.0;2022
110;15;41;same_year;10.0;2022
111;15;62;same_year;10.0;2022
112;15;68;same_year;10.0;2022
113;15;69;same_year;10.0;2022
114;15;71;same_year;10.0;2022
115;15;72;same_year;10.0;2022
116;15;74;same_year;10.0;2022
117;15;75;same_year;10.0;2022
